domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
gripper,prob13.pddl,greedyResumeWalker, ,success,12232,1s_easy,108.0,1,0,654,163,2653, ,108,0.03,0.01,144,90077.0,True,True,True,26,26,2,2,1230,7649805,28,2,2,2
gripper,prob14.pddl,greedyResumeWalker, ,success,12500,1s_easy,116.0,1,0,702,175,3023, ,116,0.0353679,0.0119992,154,90114.0,True,True,True,28,28,2,2,852,6015241,30,2,2,2
gripper,prob15.pddl,greedyResumeWalker, ,success,12872,1s_easy,118.0,1,0,722,180,3279, ,118,0.0575454,0.0159994,164,90132.0,True,True,True,31,29,4,4,712,5855110,32,2,2,2
gripper,prob16.pddl,greedyResumeWalker, ,success,13288,1s_easy,118.0,1,0,782,195,3651, ,118,0.0695834,0.0159994,174,90156.0,True,True,True,34,29,6,10,729,6693859,34,2,2,2
gripper,prob17.pddl,greedyResumeWalker, ,success,13676,1s_easy,138.0,1,0,830,207,4199, ,138,0.0487229,0.0159993,184,90128.0,True,True,True,36,34,3,4,635,5661478,36,2,2,2
gripper,prob18.pddl,greedyResumeWalker, ,success,13968,1s_easy,146.0,1,0,878,219,4659, ,146,0.0478268,0.0159985,194,90110.0,True,True,True,37,36,3,3,574,6815671,38,2,2,2
gripper,prob19.pddl,greedyResumeWalker, ,success,14184,1s_easy,154.0,1,0,926,231,5152, ,154,0.063999,0.0199991,206,90151.0,True,True,True,40,38,3,6,496,5581597,40,2,2,2
gripper,prob20.pddl,greedyResumeWalker, ,success,14504,1s_easy,161.0,1,0,982,245,5707, ,161,0.0489686,0.0160015,214,90110.0,True,True,True,41,40,4,4,480,6453157,42,2,2,2
hanoi,pb1.pddl,greedyResumeWalker, ,success,10540,1s_easy,7.0,1,0,70,17,49, ,7,0.01,0.01,22,90577.0,True,True,True,0,0,0,0,341122,6145083,2,3,2,2
hanoi,pb2.pddl,greedyResumeWalker, ,success,10672,1s_easy,15.0,1,0,150,37,110, ,15,0.02,0.01,30,90445.0,True,True,True,0,0,0,0,231371,4155810,2,3,2,2
hanoi,pb3.pddl,greedyResumeWalker, ,success,10668,1s_easy,38.0,1,0,922,230,688, ,38,0.02,0.01,39,90460.0,True,True,True,0,0,0,0,221986,3985028,2,3,2,2
hanoi,pb4.pddl,greedyResumeWalker, ,success,10800,1s_easy,70.0,1,0,1446,361,1082, ,70,0.02,0.01,49,90503.0,True,True,True,0,0,0,0,268292,4826598,2,3,2,2
hanoi,pb5.pddl,greedyResumeWalker, ,success,11076,1s_easy,164.0,1,0,4362,1090,3269, ,164,0.0400328,0.027998,60,90391.0,True,True,True,0,0,0,0,261472,4703803,2,3,2,2
hanoi,pb6.pddl,greedyResumeWalker, ,success,11616,1s_easy,314.0,1,0,12278,3069,9206, ,314,0.128861,0.107996,72,90473.0,True,True,True,0,0,0,0,256718,4614910,2,3,2,2
logistics_easy,p01.pddl,greedyResumeWalker, ,success,14512,1s_easy,32.0,1,0,430,107,16299, ,32,0.11872060000000001,0.0119988,559,90376.0,True,True,True,0,0,0,1,1659,3784960,160,161,12,9
logistics_easy,p02.pddl,greedyResumeWalker, ,success,19232,1s_easy,53.0,1,0,1546,386,76578, ,53,0.440106,0.111991,1206,90615.0,True,True,True,0,0,0,1,840,2643441,210,210,13,10
logistics_easy,p03.pddl,greedyResumeWalker, ,success,26836,1s_easy,81.0,1,0,2754,688,179477, ,81,0.972731,0.34799,2175,91085.0,True,True,True,0,0,0,0,392,1697402,277,277,14,11
miconic,s1-0.pddl,greedyResumeWalker, ,success,10536,1s_easy,3.0,1,0,14,3,6, ,3,0.01,0.01,6,91377.0,True,True,True,2,1,1,1,366314,5493711,1,2,3,3
miconic,s1-1.pddl,greedyResumeWalker, ,success,10536,1s_easy,2.0,1,0,10,2,5, ,2,0.01,0.01,6,91038.0,True,True,True,2,1,1,1,412675,6182629,1,2,3,3
miconic,s1-2.pddl,greedyResumeWalker, ,success,10536,1s_easy,3.0,1,0,14,3,6, ,3,0.01,0.01,6,91080.0,True,True,True,2,1,1,1,443799,6660472,1,2,3,3
miconic,s1-3.pddl,greedyResumeWalker, ,success,10536,1s_easy,3.0,1,0,14,3,6, ,3,0.02,0.01,6,91482.0,True,True,True,2,1,1,1,377560,5667526,1,2,3,3
miconic,s1-4.pddl,greedyResumeWalker, ,success,10536,1s_easy,3.0,1,0,14,3,6, ,3,0.01,0.01,6,91410.0,True,True,True,2,1,1,1,377487,5670306,1,2,3,3
miconic,s10-0.pddl,greedyResumeWalker, ,success,11460,1s_easy,47.0,1,0,574,143,4033, ,47,0.09999999999999999,0.01,60,139730.0,True,True,True,0,0,0,100,72137,9105136,20,20,5,5
miconic,s10-1.pddl,greedyResumeWalker, ,success,11460,1s_easy,41.0,1,0,462,115,3296, ,41,0.14,0.01,60,145020.0,True,True,True,0,0,0,100,67975,8579409,20,20,5,5
miconic,s10-2.pddl,greedyResumeWalker, ,success,11332,1s_easy,45.0,1,0,518,129,3793, ,45,0.15000000000000002,0.01,60,165609.0,True,True,True,0,0,0,100,77959,9811518,20,20,5,5
miconic,s10-3.pddl,greedyResumeWalker, ,success,11592,1s_easy,38.0,1,0,458,114,3086, ,38,0.2219991,0.01,60,165530.0,True,True,True,4,1,1,100,72943,9180975,20,20,5,5
miconic,s10-4.pddl,greedyResumeWalker, ,success,11460,1s_easy,42.0,1,0,466,116,3529, ,42,0.15000000000000002,0.01,60,159046.0,True,True,True,13,3,3,100,70207,9194211,20,20,5,5
miconic,s11-0.pddl,greedyResumeWalker, ,success,11712,1s_easy,54.0,1,0,758,189,5954, ,54,0.1606677,0.01,66,134585.0,True,True,True,4,1,1,100,52182,7633518,22,22,5,5
miconic,s11-1.pddl,greedyResumeWalker, ,success,11580,1s_easy,49.0,1,0,546,136,3716, ,49,0.18000000000000002,0.01,66,145800.0,True,True,True,0,0,0,100,63770,9297277,22,22,5,5
miconic,s11-2.pddl,greedyResumeWalker, ,success,11712,1s_easy,57.0,1,0,858,214,5057, ,57,0.1618995,0.01,66,139930.0,True,True,True,0,0,0,100,52090,7664310,22,22,5,5
miconic,s11-3.pddl,greedyResumeWalker, ,success,11704,1s_easy,47.0,1,0,606,151,4605, ,47,0.15000000000000002,0.01,66,129469.0,True,True,True,0,0,0,100,52288,7529278,22,22,5,5
miconic,s11-4.pddl,greedyResumeWalker, ,success,11708,1s_easy,46.0,1,0,718,179,5254, ,46,0.09999999999999999,0.01,66,136955.0,True,True,True,0,0,0,100,62897,9026011,22,22,5,5
miconic,s12-0.pddl,greedyResumeWalker, ,success,11988,1s_easy,48.0,1,0,554,138,4203, ,48,0.11,0.01,72,136775.0,True,True,True,0,0,0,100,54561,9036416,24,24,5,5
miconic,s12-1.pddl,greedyResumeWalker, ,success,11988,1s_easy,55.0,1,0,738,184,6029, ,55,0.160402,0.01,72,119589.0,True,True,True,0,0,0,100,44940,7386105,24,24,5,5
miconic,s12-2.pddl,greedyResumeWalker, ,success,11856,1s_easy,57.0,1,0,846,211,5936, ,57,0.14,0.01,72,130210.0,True,True,True,0,0,0,100,55981,9133687,24,24,5,5
miconic,s12-3.pddl,greedyResumeWalker, ,success,11856,1s_easy,54.0,1,0,738,184,5604, ,54,0.09999999999999999,0.01,72,121264.0,True,True,True,6,2,2,100,57100,9560555,24,24,5,5
miconic,s12-4.pddl,greedyResumeWalker, ,success,12112,1s_easy,61.0,1,0,966,241,6328, ,61,0.11,0.01,72,138124.0,True,True,True,0,0,0,100,51942,8639250,24,24,5,5
miconic,s13-0.pddl,greedyResumeWalker, ,success,12144,1s_easy,55.0,1,0,846,211,5916, ,55,0.11106640000000001,0.01,78,120777.0,True,True,True,0,0,0,100,41361,7738369,26,26,5,6
miconic,s13-1.pddl,greedyResumeWalker, ,success,12008,1s_easy,59.0,1,0,910,227,6601, ,59,0.11007620000000001,0.01,78,132933.0,True,True,True,0,0,0,100,52453,9519846,26,26,5,5
miconic,s13-2.pddl,greedyResumeWalker, ,success,12404,1s_easy,63.0,1,0,934,233,6580, ,63,0.15457040000000002,0.0119992,78,122704.0,True,True,True,2,1,1,100,40871,7503771,26,26,5,6
miconic,s13-3.pddl,greedyResumeWalker, ,success,12144,1s_easy,57.0,1,0,750,187,5154, ,57,0.15000000000000002,0.01,78,115043.0,True,True,True,3,1,1,100,39792,7344270,26,26,5,5
miconic,s13-4.pddl,greedyResumeWalker, ,success,12136,1s_easy,53.0,1,0,838,209,7157, ,53,0.16350599999999998,0.0119996,78,129526.0,True,True,True,0,0,0,100,41494,7542909,26,26,5,5
miconic,s14-0.pddl,greedyResumeWalker, ,success,12376,1s_easy,55.0,1,0,786,196,6545, ,55,0.1746184,0.0119992,84,127059.0,True,True,True,10,3,2,100,35858,7276473,28,28,6,6
