domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
freecell_hard,probfreecell-12-2.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,708.0, , ,False, , , 
freecell_hard,probfreecell-12-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,732.0, , ,False, , , 
freecell_hard,probfreecell-13-1.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,733.0, , ,False, , , 
freecell_hard,probfreecell-13-3.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,895.0, , ,False, , , 
freecell_hard,probfreecell-13-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,759.0, , ,False, , , 
freecell_hard,probfreecell-9-5.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,748.0, , ,False, , , 
logistics_hard,p05.pddl,greedyResumeWalker, ,success,64260,experiment_3,167.0,1,0,8962,2240,896348, ,167,4.679,3.65586,5168,9415.0,True,True,True,0,0,0
logistics_hard,p06.pddl,greedyResumeWalker, ,success,109952,experiment_3,201.0,1,0,17606,4401,2148852, ,201,13.135000000000002,11.647,7192,27307.0,True,True,True,0,0,0
logistics_hard,p07.pddl,greedyResumeWalker, ,success,150608,experiment_3,230.0,1,0,23970,5992,3360123, ,230,29.925800000000002,28.0424,9182,74933.0,True,True,True,0,0,0
logistics_hard,p08.pddl,greedyResumeWalker, ,success,187104,experiment_3,259.0,1,0,24998,6249,4101367, ,259,28.0636,25.3583,12434,80945.0,True,True,True,0,0,0
logistics_hard,p09.pddl,greedyResumeWalker, ,success,309892,experiment_3,307.0,1,0,49582,12395,9254598, ,307,41.3642,38.9171,15065,174182.0,True,True,True,0,0,0
